Task,Status,Comments (only if Yellow or Red
Develop mockups,Complete,
Finalize IA,Complete,
Begin content concurrence,Complete,
Finalize content concurrence,Complete,
Begin technical / development tasks,Complete,
Develop prototype,Complete,
Review prototype / get feedback,Complete,
Complete system security activities,Complete,
Complete technical/development activities,Complete,
Complete data activities,Complete,
Complete testing,Complete,
Complete communications planning (VA task),Complete,
Conduct / incorporate user research,Complete,
VA business owner final acceptance,Complete,
COMPLETE ALL DESIGN TASKS,Complete,
